i,Nama Barang,Ukuran,Kategori,Harga,Satuan,Stok,Keterangan 
1,1 Set Emblem,,Produksi,"Rp30,000",1 set,,
2,1 Set PDA,,Produksi,"Rp270,000",1 set,,
3,Abon 100 gr,,Makanan,"Rp14,000",1 buah,,
4,Abon 16k,,Makanan,"Rp16,000",1 buah,,
5,Abon 50 gr,,Makanan,"Rp7,500",1 buah,,
6,Amplop Besar ,,ATK,Rp500,1 buah,,Ukuran 110*230 mm
7,Amplop Paperline No 104,,ATK,Rp500,1 buah,,
8,Amplop Paperline No 110,,ATK,Rp500,1 buah,,
9,Amplop Paperline No 90,,ATK,Rp750,1 buah,,
10,Atasan PDA / Kemeja Panjang,,Produksi,"Rp130,000",1 buah,,
11,Atasan PDA / Kemeja Pendek,,Produksi,"Rp130,000",1 buah,,
12,Badge Holder,,Produksi,"Rp10,000",1 buah,,
13,Baterai ABC ,,Lain - Lain,"Rp2,500",1 buah,,
14,Baterai Dynamax AAA,,Lain - Lain,"Rp4,000",1 buah,,
15,Baterai Maxell Mikro Alkali,,Lain - Lain,"Rp5,000",1 buah,,Baterai Jam/Kalkulator
16,Bawahan PDA / Celana Panjang,,Produksi,"Rp170,000",1 buah,,
17,Bawahan PDA / Rok Panjang,,Produksi,"Rp170,000",1 buah,,
18,Bawahan PDA / Rok Pendek,,Produksi,"Rp170,000",1 buah,,
19,Binder Clips Kenko No. 200,,ATK,"Rp2,500",3 pcs,,
20,Binder Clips Kenko No. 260,,ATK,"Rp1,500",1 pcs,,
21,Binder Clips Kenko No107. ,,ATK,"Rp1,000",3 pcs,,
22,Binder Joyko Academy,,ATK,"Rp21,000",1 buah,,Binder Besar
23,Binder Joyko Education,,ATK,"Rp17,000",1 buah,,Binder Kecil
24,Bivakmut (Tanpa Pin),,Produksi,"Rp60,000",1 buah,,
25,Botol Minum,,Produksi,"Rp10,000",1 buah,,
26,Botol Minum Viola,,Lain - Lain,"Rp10,000",1 buah,,
27,Brasso Metal Polish 200 ml,,,"Rp20,000",1 buah,,
28,Buku Tulis A5 38 lembar,,ATK,"Rp4,500",1 buah,,
29,Buku Tulis A5 58 lembar,,ATK,"Rp6,000",1 buah,,
30,Buku Tulis B5 42 lembar,,ATK,"Rp6,500",1 buah,,
31,Baterai Alkaline A3,,ATK,"Rp8,000",1 buah,,
32,Celana Bahan / Uk. 25,25,Produksi,,1 buah,,
33,Celana Bahan / Uk. 26,26,Produksi,,1 buah,,
34,Celana Bahan / Uk. 27,27,Produksi,,1 buah,,
35,Celana Bahan / Uk. 28,28,Produksi,"Rp95,000",1 buah,,
36,Celana Bahan / Uk. 29,29,Produksi,"Rp95,000",1 buah,,
37,Celana Bahan / Uk. 30,30,Produksi,"Rp95,000",1 buah,,
38,Celana Bahan / Uk. 31,31,Produksi,"Rp95,000",1 buah,,
39,Celana Bahan / Uk. 32,32,Produksi,"Rp95,000",1 buah,,
40,Celana Bahan / Uk. 33,33,Produksi,"Rp100,000",1 buah,,
41,Celana Bahan / Uk. 34,34,Produksi,"Rp100,000",1 buah,,
42,Celana Bahan / Uk. 35,35,Produksi,"Rp100,000",1 buah,,
43,Celana Bahan / Uk. 36,36,Produksi,"Rp100,000",1 buah,,
44,Celana Bahan / Uk. 37,37,Produksi,"Rp100,000",1 buah,,
45,Celana Bahan / Uk. 38,38,Produksi,"Rp100,000",1 buah,,
46,Cutter Gunindo A-18,,ATK,"Rp4,000",1 buah,,
47,Cutter Taco CT-88,,ATK,"Rp4,000",1 buah,,
48,Double Tape Â½ inch,,ATK,"Rp4,000",1 buah,,
49,Emblem / Korps BPS,,Produksi,"Rp6,000",2 buah,,
50,Emblem / Korps Mahasiswa,,Produksi,"Rp6,000",1 buah,,
51,Emblem / Logo BPS,,Produksi,"Rp8,000",1 buah,,
52,Emblem / Logo Polstat STIS,,Produksi,"Rp10,000",1 buah,,
53,Folio SIDU Double Bergaris,,ATK,"Rp2,000",4,,
54,Gantungan Kunci Biasa,,Produksi,"Rp10,000",1 buah,,
55,Gantungan Kunci Kaleng,,Produksi,"Rp7,000",1 buah,,
56,Gantungan Kunci Kepala,,Produksi,"Rp12,000",1 buah,,
57,Gantungan Kunci Kulit,,Produksi,"Rp15,000",1 buah,,
58,Gunting Gunindo Scissors No. REC 547186 ,,ATK,"Rp4,000",1 buah,,
59,Handshock Bintang Scraf Lengan Muslimah Hitam ,,ATK,"Rp15,000",1 buah,,
60,Handuk,,Produksi,"Rp25,000",1 buah,,
61,Highlighter Deli Hijau,,ATK,"Rp5,500",1 buah,,
62,Highlighter Deli Kuning,,ATK,"Rp5,500",1 buah,,
63,Highlighter Deli Orange,,ATK,"Rp5,500",1 buah,,
64,Highlighter Deli Pink,,ATK,"Rp5,500",1 buah,,
65,Highlighter Joyko Biru,,ATK,"Rp4,000",1 buah,,
66,Highlighter Joyko Orange,,ATK,"Rp4,000",1 buah,,
67,Highlighter Joyko Pink,,ATK,"Rp4,000",1 buah,,
68,Highligther Deli Biru,,ATK,"Rp5,500",1 buah,,
69,Highligther Deli Ungu,,ATK,"Rp5,500",1 buah,,
70,Highliter Tozhca Twin Head Ungu-Kuning,,ATK,"Rp5,000",1 buah,,
71,Hvs,,ATK,Rp250,1 buah,,
72,Ikat pinggang,,Produksi,"Rp32,000",1 buah,,
76,Isi Binder Loose Leaf A5 20 Holes Isi 100,,ATK,"Rp6,000",1 buah,,
77,Isi Stapler No.10-1M Joyko 1000 Staples,,ATK,"Rp1,500",1 box,,
78,"Isi Track Pen Pensil Leads Pilot Polymer leads 0,5 2B",,ATK,"Rp4,000",1 buah,,
79,Jilbab Baru,,Produksi,"Rp65,000",1 buah,,
80,Jilbab Hitam / Uk. M,M,Produksi,"Rp25,000",1 buah,,
81,Jilbab Hitam /. Uk. L,L,Produksi,"Rp25,000",1 buah,,
82,Jilbab Lama,,Produksi,"Rp65,000",1 buah,,
83,Jilbab Putih / Uk. L,L,Produksi,"Rp25,000",1 buah,,
84,Jilbab Putih / Uk. M,M,Produksi,"Rp25,000",1 buah,,
85,Jilbab Reject,,Produksi,"Rp60,000",1 buah,,
86,Joyko Correction Tape 12m ,,ATK,"Rp6,000",1 buah,,
87,Kancing,,Produksi,Rp500,3 buah,,
88,Kaos A / Uk. L,L,Produksi,"Rp50,000",1 buah,,
89,Kaos A / Uk. M,M,Produksi,"Rp50,000",1 buah,,
90,Kaos A / Uk. S,S,Produksi,"Rp50,000",1 buah,,
91,Kaos A / Uk. XL,XL,Produksi,"Rp55,000",1 buah,,
92,Kaos A / Uk. XXL,XXL,Produksi,"Rp55,000",1 buah,,
93,Kaos B / Uk. L,L,Produksi,"Rp35,000",1 buah,,
94,Kaos B / Uk. M,M,Produksi,"Rp35,000",1 buah,,
95,Kaos B / Uk. S,S,Produksi,"Rp35,000",1 buah,,
96,Kaos B / Uk. XL,XL,Produksi,"Rp35,000",1 buah,,
97,Kaos B / Uk. XXL,XXL,Produksi,"Rp35,000",1 buah,,
98,Kaos Kaki / Hitam Tebal,,Produksi,"Rp15,000",1 pasang,,
99,Kaos Kaki / Hitam Tipis,,Produksi,"Rp10,000",1 pasang,,
100,Kaos Kaki / Putih Tebal,,Produksi,"Rp15,000",1 pasang,,
101,Kaos Tulisan Panjang,,Produksi,"Rp85,000",1 buah,,
102,Kaos Tulisan Pendek,,Produksi,"Rp80,000",1 buah,,
103,Kemeja Bahan Drill / Uk. 14,14,Produksi,"Rp80,000",1 buah,,
104,Kemeja Bahan Drill / Uk. 14.5,14.5,Produksi,"Rp80,000",1 buah,,
105,Kemeja Bahan Drill / Uk. 15,15,Produksi,"Rp80,000",1 buah,,
106,Kemeja Bahan Drill / Uk. 15.5,15.5,Produksi,"Rp85,000",1 buah,,
107,Kemeja Bahan Drill / Uk. 16,16,Produksi,"Rp85,000",1 buah,,
108,Kemeja Bahan Drill / Uk. 17,17,Produksi,"Rp85,000",1 buah,,
109,Kemeja Bahan Drill / Uk. 18,18,Produksi,"Rp95,000",1 buah,,
110,Kemeja Bahan Drill / Uk. 20,20,Produksi,"Rp95,000",1 buah,,
111,Kemeja Bahan Drill Lama / Uk. 14,14,Produksi,"Rp70,000",1 buah,,
112,Kemeja Bahan Drill Lama / Uk. 14.5,14.5,Produksi,"Rp70,000",1 buah,,
113,Kemeja Bahan Drill Lama / Uk. 15,15,Produksi,"Rp70,000",1 buah,,
114,Kemeja Bahan Drill Lama / Uk. 15.5,15.5,Produksi,"Rp70,000",1 buah,,
115,Kemeja Bahan Drill Lama / Uk. 16,16,Produksi,"Rp80,000",1 buah,,
116,Kemeja Bahan Drill Lama / Uk. 17,17,Produksi,"Rp80,000",1 buah,,
117,Kemeja Bahan Drill Lama / Uk. 18,18,Produksi,"Rp80,000",1 buah,,
118,Kemeja Bahan Drill Lama / Uk. 20,20,Produksi,"Rp80,000",1 buah,,
119,Kotak Pensil Kiky,,ATK,"Rp18,000",1 buah,,
120,Kotak Pensil Sintoeng,,ATK,"Rp20,000",1 buah,,
121,Selotip Yatta Daimaru 1 inch,,ATK,"Rp9,500",1 buah,,
122,Selotip Yatta Daimaru 2 inch,,ATK,"Rp10,500",1 buah,,
123,Lem Takashima,,ATK,"Rp1,500",1 buah,,Lem Super
124,Loose Leaf B5 isi 100 lembar,,ATK,"Rp13,500",1 buah,,
125,Magnet,,Produksi,"Rp5,000",1 buah,,
126,Map Diamond Biru,,ATK,"Rp2,000",1 buah,,Map Kertas
127,Map Diamond Merah,,ATK,"Rp2,000",1 buah,,Map Kertas
128,Map Inter X Folder Biru,,ATK,"Rp3,000",1 buah,,Map Plastik
129,Map Inter X Folder Merah,,ATK,"Rp3,000",1 buah,,Map Plastik
130,Max Stapler  HD-10,,ATK,"Rp18,000",1 buah,,
131,Nametag Magnet,,Produksi,"Rp20,000",1 buah,,
132,Nametag Peniti,,Produksi,"Rp17,000",1 buah,,
133,Notebook Explore the World with Data,,ATK,"Rp40,000",1 buah,,
134,Notebook Stop Thinking Start Doing Kuning ,,ATK,"Rp40,000",1 buah,,
135,Notebook Stop Thinking Start Doing Tosca,,ATK,"Rp40,000",1 buah,,
136,Panduan Melaksanakan Penelitian,,Buku,"Rp55,000",1 buah,,
137,Pangkat,,Produksi,"Rp35,000",1 buah,,
138,Payung,,Produksi,"Rp30,000",1 buah,,
139,PDO Celana,,Produksi,"Rp60,000",1 buah,,
140,PDO Panjang,,Produksi,"Rp70,000",1 buah,,
141,PDO Pendek,,Produksi,"Rp70,000",1 buah,,
142,Pembatas Binder B5 Isi 5,,ATK,"Rp8,500",1 buah,,
143,Pembatas Binder Loose Leaf Color Index A5 20 Holes Isi 10,,ATK,"Rp15,000",1 buah,,
144,Pembatas Binder Loose Leaf Color Index A5 20 Holes Isi 5,,ATK,"Rp7,500",1 buah,,
145,Pembatas Buku Joyko Index & Mark ,,ATK,"Rp7,500",1 buah,,
146,Pengantar Statistika II,,Buku,,1 buah,,
147,Penggaris Besi Joyko 30 cm,,ATK,"Rp8,000",1 buah,,
148,Penggaris Besi Kenko 20 cm,,ATK,"Rp4,500",1 buah,,
149,Penggaris Butterfly 30 cm,,ATK,"Rp2,500",1 buah,,
150,Penghapus Boxy EP-60,,ATK,"Rp2,500",1 buah,,
151,Penghapus Faber-Castell Dust Free,,ATK,"Rp2,000",1 buah,,
152,Penghapus Joyko Superior Quality,,ATK,"Rp1,000",1 buah,,
153,Penghapus Stabilo No.1191s,,ATK,"Rp1,000",1 buah,,Kecil
154,Pensil Faber-Castell HB,,ATK,"Rp3,500",1 buah,,
155,Pin Bivakmut,,Produksi,"Rp30,000",1 buah,,
156,Produk Domestik Bruto,,Buku,"Rp80,000",1 buah,,
157,Pulpen Gel Kenko ,,ATK,"Rp3,000",1 buah,,
158,Pulpen Gel Kokoro ,,ATK,"Rp6,500",1 buah,,
159,Pulpen Pilot BPT-P Biru,,ATK,"Rp2,500",1 buah,,
160,Pulpen Pilot BPT-P Merah,,ATK,"Rp2,500",1 buah,,
161,Pulpen Standard AE-7 0.5 biru,,ATK,"Rp2,000",1 buah,,
162,Pulpen Standard AE-7 0.5 merah,,ATK,"Rp2,000",1 buah,,
163,Pulpen Standard Hitam (Baru),,ATK,"Rp2,500",1 buah,,
164,Pulpen Zebra Penciltic Coklat ,,ATK,"Rp3,000",1 buah,,
165,Pulpen Zebra Penciltic Ungu,,ATK,"Rp3,000",1 buah,,
166,Push-Pin Kenko,,ATK,"Rp3,000",1 buah,,
167,Rautan Pensil Kenko Sharpener SP-80R,,ATK,"Rp2,500",1 buah,,
168,Registrasi Penduduk sebagai Sumber Data Perencanaan Pembangunan,,Buku,"Rp40,000",1 buah,,
169,Rok Bahan / Uk. 4XL,4XL,Produksi,"Rp100,000",1 buah,,
170,Rok Bahan / Uk. L,L,Produksi,"Rp95,000",1 buah,,
171,Rok Bahan / Uk. M,M,Produksi,"Rp95,000",1 buah,,
172,Rok Bahan / Uk. S,S,Produksi,"Rp95,000",1 buah,,
173,Rok Bahan / Uk. XL,XL,Produksi,"Rp95,000",1 buah,,
174,Rok Bahan / Uk. XXL,XXL,Produksi,"Rp100,000",1 buah,,
175,Rok Hitam Lama,,Produksi,"Rp80,000",2 buah,,
176,Roti,,Makanan,"Rp4,000",1 buah,,
177,Sandal Jepit Swallow,,Lain-lain,"Rp12,000",1 buah,,
178,Schedule Board,,ATK,"Rp13,000",1 buah,,
179,Selotip Crystal Clear Gold Tape,,ATK,"Rp1,000",1 buah,,Selotip Bening Kecil
180,Selotip Crystal Clear Gold Tape (Baru),,ATK,"Rp2,000",1 buah,,
181,Selotip Daimaru Tape,,ATK,"Rp7,000",1 buah,,Selotip Bening Besar
182,Selotip DKE Tape,,ATK,"Rp12,000",1 buah,,Selotip Besar Kuning
183,Semir Sepatu Kiwi Shine ,,Lain - Lain,"Rp15,000",1 buah,,
184,Sepatu Cewe,,Produksi,"Rp140,000",1 pasang,,
185,Sepatu Cowo,,Produksi,"Rp160,000",1 pasang,,
186,Spidol Pentel Permanent Hitam,,ATK,"Rp10,000",1 buah,,Spidol Besar
187,Spidol Snowman Biru,,ATK,"Rp1,500",1 buah,,Spidol Kecil
188,Spidol Snowman Board biru,,ATK,"Rp7,000",1 buah,,Spidol Besar
189,Spidol Snowman hitam,,ATK,"Rp1,500",1 buah,,Spidol Kecil
190,Spidol Snowman merah,,ATK,"Rp1,500",1 buah,,Spidol Kecil
191,Stabilo 2 Sisi,,ATK,"Rp5,000",1 buah,,
192,Stapler Kenko HD-10,,ATK,"Rp8,000",1 buah,,
193,Statistika Teori dan Aplikasi Edisi 8 Jilid 1,,Buku,"Rp60,000",1 buah,,
194,Stiker 1 buah,,Produksi,"Rp2,000",1 buah,,
195,Stiker 3 buah,,Produksi,"Rp5,000",3 buah,,
196,Tas Ransel,,Produksi,"Rp70,000",1 buah,,
197,Tip-Ex Joyko (cair),,ATK,"Rp6,000",1 buah,,
198,Tipe-X Kenko (cair),,ATK,"Rp4,500",1 buah,,
199,Tissue Kering Paseo 12 sheet,,ATK,"Rp1,500",1 buah,,
200,Tissue Kering Paseo 50 sheet,,ATK,"Rp4,000",1 buah,,
201,Totebag,,Produksi,"Rp35,000",1 buah,,
202,"Track Pen Joyko MP-07 0,5 mm Abu- Abu ",,ATK,"Rp3,500",1 buah,,
203,"Track Pen Joyko MP-07 0,5 mm Biru",,ATK,"Rp3,500",1 buah,,
204,"Track Pen Kenko MP-01 0,5 mm Biru",,ATK,"Rp3,500",1 buah,,
205,"Track Pen Kenko MP-01 0,5 mm Hitam",,ATK,"Rp3,500",1 buah,,
206,Training / Uk. L,L,Produksi,"Rp60,000",1 buah,,
207,Training / Uk. XL,XL,Produksi,"Rp60,000",1 buah,,
208,Training / Uk. XXL,XXL,Produksi,"Rp60,000",1 buah,,
209,"Trcak Pen Joyko MP-07 0,5 mm Merah",,ATK,"Rp3,500",1 buah,,
210,Joyko Tringonal Clips No.03,,ATK,Rp100,1 buah,,
211,Tip-ex Joyko (kertas),,ATK,"Rp6,000",1 buah,,harga di map merah
212,Stiky Note Pad 2x2 inch,,ATK,"Rp5,000",1 buah,,
213,Penggaris Butterfly Plastik 20 cm,,ATK,"Rp2,000",1 buah,,
214,paket 1,,,"Rp5,000",,,
215,paket 2,,,"Rp16,000",,,
216,paket 3,,,"Rp17,000",,,
217,tas hitam,,,,,,
218,Kemeja Putih Ukuran 14,,,"Rp80,000",,,
219,"Kemeja Putih Ukuran 14,5",,,"Rp80,000",,,
220,Kemeja Putih Ukuran 15,,,"Rp80,000",,,
221,"Kemeja Putih Ukuran 15,5",,,"Rp85,000",,,
222,Kemeja Putih Ukuran 16,,,"Rp85,000",,,
223,Kemeja Putih Ukuran 17,,,"Rp95,000",,,
224,Kemeja Putih Ukuran 18,,,"Rp95,000",,,
225,Kemeja Putih Ukuran 20,,,"Rp95,000",,,
226,Celana Bahan Ukuran 27,,,"Rp100,000",,,
227,Celana Bahan Ukuran 28,,,"Rp100,000",,,
228,Celana Bahan Ukuran 29,,,"Rp100,000",,,
229,Celana Bahan Ukuran 30,,,"Rp100,000",,,
230,Celana Bahan Ukuran 31,,,"Rp100,000",,,
231,Celana Bahan Ukuran 32,,,"Rp100,000",,,
232,Celana Bahan Ukuran 33,,,"Rp110,000",,,
233,Celana Bahan Ukuran 34,,,"Rp110,000",,,
234,Celana Bahan Ukuran 35,,,"Rp110,000",,,
235,Celana Bahan Ukuran 36,,,"Rp110,000",,,
236,Celana Bahan Ukuran 37,,,"Rp110,000",,,
237,Celana Bahan Ukuran 38,,,"Rp110,000",,,
238,Rok Bahan Ukuran S,,,"Rp100,000",,,
239,Rok Bahan Ukuran M,,,"Rp100,000",,,
240,Rok Bahan Ukuran L,,,"Rp100,000",,,
241,Rok Bahan Ukuran XL,,,"Rp100,000",,,
242,Rok Bahan Ukuran XXL,,,"Rp105,000",,,
243,Rok Bahan Ukuran XXXL,,,"Rp105,000",,,
244,Kaos Lengan Panjang Ukuran M,,,"Rp55,000",,,
245,Kaos Lengan Panjang Ukuran L,,,"Rp55,000",,,
246,Kaos Lengan Panjang Ukuran XL,,,"Rp60,000",,,
247,Kaos Lengan Panjang Ukuran XXL,,,"Rp65,000",,,
248,Jilbab Putih Ukuran M,,,"Rp25,000",,,
249,Jilbab Putih Ukuran L,,,"Rp25,000",,,
250,Jilbab Hitam Ukuran M,,,"Rp25,000",,,
251,Jilbab Hitam Ukuran L,,,"Rp25,000",,,
252,Training Ukuran M,,,"Rp65,000",,,
253,Training Ukuran L,,,"Rp65,000",,,
254,Training Ukuran XL,,,"Rp67,000",,,
255,Training Ukuran XXL,,,"Rp67,000",,,
256,Kaos Kaki Hitam,,,"Rp15,000",,,
257,Kaos Kaki Putih,,,"Rp15,000",,,
258,Paket alat tulis (stick note),,,"Rp17,000",,,
259,Paket alat tulis (pensil),,,"Rp16,000",,,
260,Atasan PDA stok lama,,Produksi,"Rp80,000",1 buah,,
261,Bawahan PDA  stok lama,,Produksi,"Rp80,000",1 buah,,
262,1 set PDA  stok lama,,Produksi,"Rp150,000",1 buah,,
263,Paket 1 Dahsyatnya Wirus,,,"Rp10,000",,20,
264,Paket 2 Dahsyatnya Wirus,,,"Rp15,000",,24,
265,Paket 3 Dahsyatnya Wirus,,,"Rp20,000",,16,